direction,seed,split_seed,shot_k,alpha,distance,file_acc,macro_f1
rx1_to_rx2,1,0,10,0.0,cosine,0.5416666666666666,0.4930555555555555
rx1_to_rx2,1,0,10,0.25,cosine,0.5833333333333334,0.5069444444444444
rx1_to_rx2,1,0,10,0.5,cosine,0.3333333333333333,0.25
rx1_to_rx2,1,0,10,0.75,cosine,0.2916666666666667,0.2222222222222222
rx1_to_rx2,1,0,10,1.0,cosine,0.16666666666666666,0.13888888888888887
rx1_to_rx2,1,0,20,0.0,cosine,0.75,0.7013888888888888
rx1_to_rx2,1,0,20,0.25,cosine,0.5416666666666666,0.46527777777777773
rx1_to_rx2,1,0,20,0.5,cosine,0.4166666666666667,0.3361111111111111
rx1_to_rx2,1,0,20,0.75,cosine,0.25,0.19444444444444442
rx1_to_rx2,1,0,20,1.0,cosine,0.16666666666666666,0.13888888888888887
rx1_to_rx2,1,1,1,0.0,cosine,0.20833333333333334,0.1597222222222222
rx1_to_rx2,1,1,1,0.25,cosine,0.2916666666666667,0.2111111111111111
rx1_to_rx2,1,1,1,0.5,cosine,0.375,0.32638888888888884
rx1_to_rx2,1,1,1,0.75,cosine,0.3333333333333333,0.25
rx1_to_rx2,1,1,1,1.0,cosine,0.125,0.1111111111111111
rx1_to_rx2,1,1,3,0.0,cosine,0.5,0.35694444444444445
rx1_to_rx2,1,1,3,0.25,cosine,0.5,0.3847222222222222
rx1_to_rx2,1,1,3,0.5,cosine,0.2916666666666667,0.1875
rx1_to_rx2,1,1,3,0.75,cosine,0.25,0.20833333333333334
rx1_to_rx2,1,1,3,1.0,cosine,0.125,0.1111111111111111
rx1_to_rx2,1,1,5,0.0,cosine,0.5416666666666666,0.4166666666666667
rx1_to_rx2,1,1,5,0.25,cosine,0.5833333333333334,0.4930555555555555
rx1_to_rx2,1,1,5,0.5,cosine,0.2916666666666667,0.22916666666666666
rx1_to_rx2,1,1,5,0.75,cosine,0.25,0.19444444444444442
rx1_to_rx2,1,1,5,1.0,cosine,0.125,0.1111111111111111
rx1_to_rx2,1,1,10,0.0,cosine,0.7083333333333334,0.6458333333333333
rx1_to_rx2,1,1,10,0.25,cosine,0.5416666666666666,0.45416666666666666
rx1_to_rx2,1,1,10,0.5,cosine,0.375,0.30833333333333335
rx1_to_rx2,1,1,10,0.75,cosine,0.20833333333333334,0.1597222222222222
rx1_to_rx2,1,1,10,1.0,cosine,0.125,0.1111111111111111
rx1_to_rx2,1,1,20,0.0,cosine,0.6666666666666666,0.6319444444444444
rx1_to_rx2,1,1,20,0.25,cosine,0.6666666666666666,0.5972222222222222
rx1_to_rx2,1,1,20,0.5,cosine,0.4166666666666667,0.3361111111111111
rx1_to_rx2,1,1,20,0.75,cosine,0.16666666666666666,0.13888888888888887
rx1_to_rx2,1,1,20,1.0,cosine,0.125,0.1111111111111111
rx1_to_rx2,1,2,1,0.0,cosine,0.25,0.1625
rx1_to_rx2,1,2,1,0.25,cosine,0.25,0.15277777777777776
rx1_to_rx2,1,2,1,0.5,cosine,0.25,0.20833333333333334
rx1_to_rx2,1,2,1,0.75,cosine,0.3333333333333333,0.27777777777777773
rx1_to_rx2,1,2,1,1.0,cosine,0.16666666666666666,0.13888888888888887
rx1_to_rx2,1,2,3,0.0,cosine,0.375,0.2805555555555555
rx1_to_rx2,1,2,3,0.25,cosine,0.375,0.2875
rx1_to_rx2,1,2,3,0.5,cosine,0.2916666666666667,0.22916666666666666
rx1_to_rx2,1,2,3,0.75,cosine,0.25,0.2222222222222222
