method,direction,model,seed,split_seed,shot_k,alpha,distance,file_acc,macro_f1
RCPA-B,rx1_to_rx2,ours_fused,2,1,3,0.5,cosine,0.3333333333333333,0.19999999999999998
RCPA-S,rx1_to_rx2,ours_fused,2,1,5,1.0,cosine,0.25,0.12648809523809523
RCPA-T,rx1_to_rx2,ours_fused,2,1,5,0.0,cosine,0.6666666666666666,0.6
RCPA-B,rx1_to_rx2,ours_fused,2,1,5,0.5,cosine,0.3333333333333333,0.20416666666666664
RCPA-S,rx1_to_rx2,ours_fused,2,1,10,1.0,cosine,0.25,0.12648809523809523
RCPA-T,rx1_to_rx2,ours_fused,2,1,10,0.0,cosine,0.8333333333333334,0.7777777777777777
RCPA-B,rx1_to_rx2,ours_fused,2,1,10,0.5,cosine,0.375,0.24583333333333332
RCPA-S,rx1_to_rx2,ours_fused,2,1,20,1.0,cosine,0.25,0.12648809523809523
RCPA-T,rx1_to_rx2,ours_fused,2,1,20,0.0,cosine,0.875,0.8333333333333334
RCPA-B,rx1_to_rx2,ours_fused,2,1,20,0.5,cosine,0.375,0.2486111111111111
source_classifier,rx1_to_rx2,ours_fused,2,2,-1,,,0.16666666666666666,0.09668803418803418
RCPA-S,rx1_to_rx2,ours_fused,2,2,0,1.0,cosine,0.20833333333333334,0.12996031746031744
RCPA-B,rx1_to_rx2,ours_fused,2,2,0,0.5,cosine,0.20833333333333334,0.12996031746031744
RCPA-S,rx1_to_rx2,ours_fused,2,2,1,1.0,cosine,0.20833333333333334,0.12996031746031744
RCPA-T,rx1_to_rx2,ours_fused,2,2,1,0.0,cosine,0.4166666666666667,0.29444444444444445
RCPA-B,rx1_to_rx2,ours_fused,2,2,1,0.5,cosine,0.2916666666666667,0.24305555555555555
RCPA-S,rx1_to_rx2,ours_fused,2,2,3,1.0,cosine,0.20833333333333334,0.12996031746031744
RCPA-T,rx1_to_rx2,ours_fused,2,2,3,0.0,cosine,0.6666666666666666,0.5861111111111111
RCPA-B,rx1_to_rx2,ours_fused,2,2,3,0.5,cosine,0.375,0.27638888888888885
RCPA-S,rx1_to_rx2,ours_fused,2,2,5,1.0,cosine,0.20833333333333334,0.12996031746031744
RCPA-T,rx1_to_rx2,ours_fused,2,2,5,0.0,cosine,0.5833333333333334,0.5166666666666666
RCPA-B,rx1_to_rx2,ours_fused,2,2,5,0.5,cosine,0.375,0.27638888888888885
RCPA-S,rx1_to_rx2,ours_fused,2,2,10,1.0,cosine,0.20833333333333334,0.12996031746031744
RCPA-T,rx1_to_rx2,ours_fused,2,2,10,0.0,cosine,0.75,0.673611111111111
RCPA-B,rx1_to_rx2,ours_fused,2,2,10,0.5,cosine,0.375,0.2513888888888889
RCPA-S,rx1_to_rx2,ours_fused,2,2,20,1.0,cosine,0.20833333333333334,0.12996031746031744
RCPA-T,rx1_to_rx2,ours_fused,2,2,20,0.0,cosine,0.875,0.8333333333333334
RCPA-B,rx1_to_rx2,ours_fused,2,2,20,0.5,cosine,0.375,0.2833333333333333
source_classifier,rx2_to_rx1,ours_fused,0,0,-1,,,0.2916666666666667,0.26388888888888884
RCPA-S,rx2_to_rx1,ours_fused,0,0,0,1.0,cosine,0.125,0.10416666666666667
RCPA-B,rx2_to_rx1,ours_fused,0,0,0,0.5,cosine,0.125,0.10416666666666667
RCPA-S,rx2_to_rx1,ours_fused,0,0,1,1.0,cosine,0.125,0.10416666666666667
RCPA-T,rx2_to_rx1,ours_fused,0,0,1,0.0,cosine,0.25,0.17361111111111108
RCPA-B,rx2_to_rx1,ours_fused,0,0,1,0.5,cosine,0.4166666666666667,0.3638888888888889
RCPA-S,rx2_to_rx1,ours_fused,0,0,3,1.0,cosine,0.125,0.10416666666666667
RCPA-T,rx2_to_rx1,ours_fused,0,0,3,0.0,cosine,0.4583333333333333,0.375
RCPA-B,rx2_to_rx1,ours_fused,0,0,3,0.5,cosine,0.2916666666666667,0.20833333333333334
RCPA-S,rx2_to_rx1,ours_fused,0,0,5,1.0,cosine,0.125,0.10416666666666667
RCPA-T,rx2_to_rx1,ours_fused,0,0,5,0.0,cosine,0.5,0.4305555555555555
RCPA-B,rx2_to_rx1,ours_fused,0,0,5,0.5,cosine,0.3333333333333333,0.28472222222222215
RCPA-S,rx2_to_rx1,ours_fused,0,0,10,1.0,cosine,0.125,0.10416666666666667
RCPA-T,rx2_to_rx1,ours_fused,0,0,10,0.0,cosine,0.5416666666666666,0.4888888888888889
RCPA-B,rx2_to_rx1,ours_fused,0,0,10,0.5,cosine,0.375,0.3333333333333333
RCPA-S,rx2_to_rx1,ours_fused,0,0,20,1.0,cosine,0.125,0.10416666666666667
RCPA-T,rx2_to_rx1,ours_fused,0,0,20,0.0,cosine,0.625,0.5833333333333333
RCPA-B,rx2_to_rx1,ours_fused,0,0,20,0.5,cosine,0.2916666666666667,0.2222222222222222
source_classifier,rx2_to_rx1,ours_fused,0,1,-1,,,0.3333333333333333,0.3055555555555555
RCPA-S,rx2_to_rx1,ours_fused,0,1,0,1.0,cosine,0.125,0.10416666666666667
RCPA-B,rx2_to_rx1,ours_fused,0,1,0,0.5,cosine,0.125,0.10416666666666667
RCPA-S,rx2_to_rx1,ours_fused,0,1,1,1.0,cosine,0.125,0.10416666666666667
RCPA-T,rx2_to_rx1,ours_fused,0,1,1,0.0,cosine,0.25,0.19246031746031744
RCPA-B,rx2_to_rx1,ours_fused,0,1,1,0.5,cosine,0.2916666666666667,0.1994047619047619
RCPA-S,rx2_to_rx1,ours_fused,0,1,3,1.0,cosine,0.125,0.10416666666666667
RCPA-T,rx2_to_rx1,ours_fused,0,1,3,0.0,cosine,0.4166666666666667,0.3638888888888889
RCPA-B,rx2_to_rx1,ours_fused,0,1,3,0.5,cosine,0.4583333333333333,0.35694444444444445
RCPA-S,rx2_to_rx1,ours_fused,0,1,5,1.0,cosine,0.125,0.10416666666666667
RCPA-T,rx2_to_rx1,ours_fused,0,1,5,0.0,cosine,0.5416666666666666,0.47222222222222215
RCPA-B,rx2_to_rx1,ours_fused,0,1,5,0.5,cosine,0.4166666666666667,0.34027777777777773
RCPA-S,rx2_to_rx1,ours_fused,0,1,10,1.0,cosine,0.125,0.10416666666666667
RCPA-T,rx2_to_rx1,ours_fused,0,1,10,0.0,cosine,0.625,0.5583333333333333
RCPA-B,rx2_to_rx1,ours_fused,0,1,10,0.5,cosine,0.4166666666666667,0.375
RCPA-S,rx2_to_rx1,ours_fused,0,1,20,1.0,cosine,0.125,0.10416666666666667
RCPA-T,rx2_to_rx1,ours_fused,0,1,20,0.0,cosine,0.6666666666666666,0.5972222222222222
RCPA-B,rx2_to_rx1,ours_fused,0,1,20,0.5,cosine,0.4166666666666667,0.3680555555555555
source_classifier,rx2_to_rx1,ours_fused,0,2,-1,,,0.3333333333333333,0.3055555555555555
RCPA-S,rx2_to_rx1,ours_fused,0,2,0,1.0,cosine,0.16666666666666666,0.13194444444444445
RCPA-B,rx2_to_rx1,ours_fused,0,2,0,0.5,cosine,0.16666666666666666,0.13194444444444445
RCPA-S,rx2_to_rx1,ours_fused,0,2,1,1.0,cosine,0.16666666666666666,0.13194444444444445
RCPA-T,rx2_to_rx1,ours_fused,0,2,1,0.0,cosine,0.16666666666666666,0.14583333333333334
RCPA-B,rx2_to_rx1,ours_fused,0,2,1,0.5,cosine,0.375,0.3013888888888889
RCPA-S,rx2_to_rx1,ours_fused,0,2,3,1.0,cosine,0.16666666666666666,0.13194444444444445
RCPA-T,rx2_to_rx1,ours_fused,0,2,3,0.0,cosine,0.3333333333333333,0.2638888888888889
RCPA-B,rx2_to_rx1,ours_fused,0,2,3,0.5,cosine,0.375,0.3333333333333333
RCPA-S,rx2_to_rx1,ours_fused,0,2,5,1.0,cosine,0.16666666666666666,0.13194444444444445
RCPA-T,rx2_to_rx1,ours_fused,0,2,5,0.0,cosine,0.5,0.4166666666666667
RCPA-B,rx2_to_rx1,ours_fused,0,2,5,0.5,cosine,0.4166666666666667,0.375
RCPA-S,rx2_to_rx1,ours_fused,0,2,10,1.0,cosine,0.16666666666666666,0.13194444444444445
RCPA-T,rx2_to_rx1,ours_fused,0,2,10,0.0,cosine,0.6666666666666666,0.6041666666666666
RCPA-B,rx2_to_rx1,ours_fused,0,2,10,0.5,cosine,0.4583333333333333,0.38888888888888884
RCPA-S,rx2_to_rx1,ours_fused,0,2,20,1.0,cosine,0.16666666666666666,0.13194444444444445
RCPA-T,rx2_to_rx1,ours_fused,0,2,20,0.0,cosine,0.625,0.548611111111111
RCPA-B,rx2_to_rx1,ours_fused,0,2,20,0.5,cosine,0.4166666666666667,0.3638888888888889
source_classifier,rx2_to_rx1,ours_fused,1,0,-1,,,0.125,0.09027777777777778
RCPA-S,rx2_to_rx1,ours_fused,1,0,0,1.0,cosine,0.16666666666666666,0.10912698412698413
RCPA-B,rx2_to_rx1,ours_fused,1,0,0,0.5,cosine,0.16666666666666666,0.10912698412698413
RCPA-S,rx2_to_rx1,ours_fused,1,0,1,1.0,cosine,0.16666666666666666,0.10912698412698413
RCPA-T,rx2_to_rx1,ours_fused,1,0,1,0.0,cosine,0.4166666666666667,0.3055555555555555
RCPA-B,rx2_to_rx1,ours_fused,1,0,1,0.5,cosine,0.25,0.20833333333333334
RCPA-S,rx2_to_rx1,ours_fused,1,0,3,1.0,cosine,0.16666666666666666,0.10912698412698413
RCPA-T,rx2_to_rx1,ours_fused,1,0,3,0.0,cosine,0.6666666666666666,0.611111111111111
RCPA-B,rx2_to_rx1,ours_fused,1,0,3,0.5,cosine,0.16666666666666666,0.12499999999999999
RCPA-S,rx2_to_rx1,ours_fused,1,0,5,1.0,cosine,0.16666666666666666,0.10912698412698413
RCPA-T,rx2_to_rx1,ours_fused,1,0,5,0.0,cosine,0.7916666666666666,0.7430555555555555
RCPA-B,rx2_to_rx1,ours_fused,1,0,5,0.5,cosine,0.2916666666666667,0.22916666666666666
RCPA-S,rx2_to_rx1,ours_fused,1,0,10,1.0,cosine,0.16666666666666666,0.10912698412698413
RCPA-T,rx2_to_rx1,ours_fused,1,0,10,0.0,cosine,0.75,0.6944444444444443
RCPA-B,rx2_to_rx1,ours_fused,1,0,10,0.5,cosine,0.2916666666666667,0.20634920634920637
RCPA-S,rx2_to_rx1,ours_fused,1,0,20,1.0,cosine,0.16666666666666666,0.10912698412698413
RCPA-T,rx2_to_rx1,ours_fused,1,0,20,0.0,cosine,0.75,0.6944444444444443
RCPA-B,rx2_to_rx1,ours_fused,1,0,20,0.5,cosine,0.2916666666666667,0.2222222222222222
source_classifier,rx2_to_rx1,ours_fused,1,1,-1,,,0.16666666666666666,0.13194444444444445
RCPA-S,rx2_to_rx1,ours_fused,1,1,0,1.0,cosine,0.125,0.060515873015873016
RCPA-B,rx2_to_rx1,ours_fused,1,1,0,0.5,cosine,0.125,0.060515873015873016
RCPA-S,rx2_to_rx1,ours_fused,1,1,1,1.0,cosine,0.125,0.060515873015873016
RCPA-T,rx2_to_rx1,ours_fused,1,1,1,0.0,cosine,0.4583333333333333,0.375
RCPA-B,rx2_to_rx1,ours_fused,1,1,1,0.5,cosine,0.2916666666666667,0.21527777777777776
RCPA-S,rx2_to_rx1,ours_fused,1,1,3,1.0,cosine,0.125,0.060515873015873016
RCPA-T,rx2_to_rx1,ours_fused,1,1,3,0.0,cosine,0.5833333333333334,0.5027777777777778
RCPA-B,rx2_to_rx1,ours_fused,1,1,3,0.5,cosine,0.4166666666666667,0.3125
RCPA-S,rx2_to_rx1,ours_fused,1,1,5,1.0,cosine,0.125,0.060515873015873016
RCPA-T,rx2_to_rx1,ours_fused,1,1,5,0.0,cosine,0.625,0.5347222222222222
RCPA-B,rx2_to_rx1,ours_fused,1,1,5,0.5,cosine,0.375,0.26388888888888884
RCPA-S,rx2_to_rx1,ours_fused,1,1,10,1.0,cosine,0.125,0.060515873015873016
RCPA-T,rx2_to_rx1,ours_fused,1,1,10,0.0,cosine,0.875,0.8333333333333334
RCPA-B,rx2_to_rx1,ours_fused,1,1,10,0.5,cosine,0.4166666666666667,0.3680555555555555
RCPA-S,rx2_to_rx1,ours_fused,1,1,20,1.0,cosine,0.125,0.060515873015873016
RCPA-T,rx2_to_rx1,ours_fused,1,1,20,0.0,cosine,0.8333333333333334,0.7777777777777777
RCPA-B,rx2_to_rx1,ours_fused,1,1,20,0.5,cosine,0.375,0.30357142857142855
source_classifier,rx2_to_rx1,ours_fused,1,2,-1,,,0.25,0.19246031746031744
RCPA-S,rx2_to_rx1,ours_fused,1,2,0,1.0,cosine,0.16666666666666666,0.10912698412698413
RCPA-B,rx2_to_rx1,ours_fused,1,2,0,0.5,cosine,0.16666666666666666,0.10912698412698413
RCPA-S,rx2_to_rx1,ours_fused,1,2,1,1.0,cosine,0.16666666666666666,0.10912698412698413
RCPA-T,rx2_to_rx1,ours_fused,1,2,1,0.0,cosine,0.20833333333333334,0.16666666666666666
RCPA-B,rx2_to_rx1,ours_fused,1,2,1,0.5,cosine,0.2916666666666667,0.20833333333333334
RCPA-S,rx2_to_rx1,ours_fused,1,2,3,1.0,cosine,0.16666666666666666,0.10912698412698413
RCPA-T,rx2_to_rx1,ours_fused,1,2,3,0.0,cosine,0.5833333333333334,0.4888888888888889
RCPA-B,rx2_to_rx1,ours_fused,1,2,3,0.5,cosine,0.2916666666666667,0.23611111111111108
RCPA-S,rx2_to_rx1,ours_fused,1,2,5,1.0,cosine,0.16666666666666666,0.10912698412698413
RCPA-T,rx2_to_rx1,ours_fused,1,2,5,0.0,cosine,0.625,0.548611111111111
RCPA-B,rx2_to_rx1,ours_fused,1,2,5,0.5,cosine,0.375,0.3222222222222222
