receiver,model,seed,condition,accuracy,macro_f1,n_eval
b200_mini_2,B1-OOB,3,shuffle,0.119,0.10521207167753459,2000
b200_mini_2,B1-OOB,3,neutral,0.133,0.06628191150624393,2000
b200_mini_2,B1-OOB,3,left_scale_0.5,0.1,0.01818181818173554,2000
b200_mini_2,B1-OOB,3,right_scale_0.5,0.5125,0.47635008328559014,2000
b200_mini_2,B1-OOB,4,clean,0.7025,0.6562765626197276,2000
b200_mini_2,B1-OOB,4,scale_0.5,0.1,0.01818181818173554,2000
b200_mini_2,B1-OOB,4,scale_0.70710678,0.1,0.018340210912341403,2000
b200_mini_2,B1-OOB,4,scale_1.41421356,0.1335,0.06789892452921117,2000
b200_mini_2,B1-OOB,4,scale_2.0,0.1,0.01819836214732394,2000
b200_mini_2,B1-OOB,4,shuffle,0.103,0.08994114283548883,2000
b200_mini_2,B1-OOB,4,neutral,0.1675,0.10463482039135519,2000
b200_mini_2,B1-OOB,4,left_scale_0.5,0.1,0.01818181818173554,2000
b200_mini_2,B1-OOB,4,right_scale_0.5,0.3275,0.23134734924829345,2000
b200_mini_2,C'-OOB,0,clean,0.9115,0.9089144329372889,2000
b200_mini_2,C'-OOB,0,scale_0.5,0.117,0.051011326860141246,2000
b200_mini_2,C'-OOB,0,scale_0.70710678,0.247,0.14321988441553576,2000
b200_mini_2,C'-OOB,0,scale_1.41421356,0.1675,0.10462710104492831,2000
b200_mini_2,C'-OOB,0,scale_2.0,0.1185,0.04715312724540317,2000
b200_mini_2,C'-OOB,0,shuffle,0.0215,0.019580300921673018,2000
b200_mini_2,C'-OOB,0,neutral,0.1405,0.05185601799720344,2000
b200_mini_2,C'-OOB,0,left_scale_0.5,0.1,0.01965601965592307,2000
b200_mini_2,C'-OOB,0,right_scale_0.5,0.748,0.7266155777625433,2000
b200_mini_2,C'-OOB,1,clean,0.9255,0.9264234149495385,2000
b200_mini_2,C'-OOB,1,scale_0.5,0.1015,0.029171428571218495,2000
b200_mini_2,C'-OOB,1,scale_0.70710678,0.216,0.13367983802113542,2000
b200_mini_2,C'-OOB,1,scale_1.41421356,0.311,0.20011356905961622,2000
b200_mini_2,C'-OOB,1,scale_2.0,0.164,0.09383726067943103,2000
b200_mini_2,C'-OOB,1,shuffle,0.013,0.01323141652454087,2000
b200_mini_2,C'-OOB,1,neutral,0.123,0.06007279482740878,2000
